"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "JavaScript React", "XML", "comment", "blank", "total"
"/Users/clifford/Codings/winda-test/pages/activities/[slug].jsx", "JavaScript React", 0, 0, 0, 0, 21, 0, 0, 0, 21
"/Users/clifford/Codings/winda-test/pages/activities/index.jsx", "JavaScript React", 0, 0, 0, 0, -1, 0, 0, -1, -2
"/Users/clifford/Codings/winda-test/pages/contact-us/index.jsx", "JavaScript React", 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/clifford/Codings/winda-test/pages/gondwana/index.jsx", "JavaScript React", 0, 0, 0, 0, 556, 0, 36, 53, 645
"/Users/clifford/Codings/winda-test/pages/index.jsx", "JavaScript React", 0, 0, 0, 0, -94, 0, 47, -16, -63
"/Users/clifford/Codings/winda-test/pages/payment-terms/index.jsx", "JavaScript React", 0, 0, 0, 0, 730, 0, 0, 82, 812
"/Users/clifford/Codings/winda-test/pages/policies/index.jsx", "JavaScript React", 0, 0, 0, 0, 147, 0, 0, 18, 165
"/Users/clifford/Codings/winda-test/pages/privacy-policy/index.jsx", "JavaScript React", 0, 0, 0, 0, 676, 0, 0, 89, 765
"/Users/clifford/Codings/winda-test/pages/safety/index.jsx", "JavaScript React", 0, 0, 0, 0, 146, 0, 0, 17, 163
"/Users/clifford/Codings/winda-test/pages/stays-server-sitemap.xml/index.jsx", "JavaScript React", 0, 0, 0, 0, 18, 0, 0, 7, 25
"/Users/clifford/Codings/winda-test/pages/stays/[slug].jsx", "JavaScript React", 0, 0, 0, 0, 1440, 0, 7, 96, 1543
"/Users/clifford/Codings/winda-test/pages/stays/index.jsx", "JavaScript React", 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/clifford/Codings/winda-test/pages/terms-of-service/index.jsx", "JavaScript React", 0, 0, 0, 0, 685, 0, 0, 25, 710
"/Users/clifford/Codings/winda-test/pages/transport/index.jsx", "JavaScript React", 0, 0, 0, 0, -1705, 0, -58, -131, -1894
"/Users/clifford/Codings/winda-test/pages/trip/[slug]/index.jsx", "JavaScript React", 0, 0, 0, 0, 268, 0, 5, 21, 294
"/Users/clifford/Codings/winda-test/pages/trip/index.jsx", "JavaScript React", 0, 0, 0, 0, -21, 0, 0, 0, -21
"/Users/clifford/Codings/winda-test/pages/trip/plan/[slug]/index.jsx", "JavaScript React", 0, 0, 0, 0, -1379, 0, -325, -105, -1809
"/Users/clifford/Codings/winda-test/pages/trip/plan/index.jsx", "JavaScript React", 0, 0, 0, 0, -139, 0, -1, -16, -156
"/Users/clifford/Codings/winda-test/pages/trip/request-trip/index.jsx", "JavaScript React", 0, 0, 0, 0, 314, 0, 0, 24, 338
"/Users/clifford/Codings/winda-test/pages/trip/user-trips/index.jsx", "JavaScript React", 0, 0, 0, 0, 44, 0, 0, 5, 49
"/Users/clifford/Codings/winda-test/pages/trips-server-sitemap.xml/index.jsx", "JavaScript React", 0, 0, 0, 0, 18, 0, 0, 6, 24
"/Users/clifford/Codings/winda-test/pages/trips/[slug]/index.jsx", "JavaScript React", 0, 0, 0, 0, -56, 0, 0, -9, -65
"/Users/clifford/Codings/winda-test/public/images/cookie-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 108, 1, 1, 110
"/Users/clifford/Codings/winda-test/public/maintenance.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 3, 22
"/Users/clifford/Codings/winda-test/redux/actions/auth.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, -1, 2
"/Users/clifford/Codings/winda-test/styles/globals.css", "CSS", 0, 0, 0, 13, 0, 0, 1, 3, 17
"Total", "-", 129, 469, 19, 13, 6859, 108, 281, 640, 8518
