"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "CSS", "HTML", "JavaScript React", "XML", "comment", "blank", "total"
"/Users/clifford/Codings/winda-test/components/Lodging/Navbar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 435, 0, 0, 43, 478
"/Users/clifford/Codings/winda-test/components/Lodging/PopularLocationsDropdown.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 85, 0, 0, 6, 91
"/Users/clifford/Codings/winda-test/components/Lodging/PriceFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 62, 0, 0, 3, 65
"/Users/clifford/Codings/winda-test/components/Lodging/RemoveFixed.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 31, 0, 4, 5, 40
"/Users/clifford/Codings/winda-test/components/Lodging/RoomFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 62, 0, 1, 3, 66
"/Users/clifford/Codings/winda-test/components/Lodging/StayTypes.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 119, 0, 1, 17, 137
"/Users/clifford/Codings/winda-test/components/Lodging/ThemeFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 74, 0, 2, 13, 89
"/Users/clifford/Codings/winda-test/components/Login/Login.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"/Users/clifford/Codings/winda-test/components/Login/LoginForm.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 186, 0, 46, 17, 249
"/Users/clifford/Codings/winda-test/components/Order/Cluster.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"/Users/clifford/Codings/winda-test/components/Order/Destination.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 113, 0, 7, 15, 135
"/Users/clifford/Codings/winda-test/components/Order/DriversMarker.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 107, 0, 1, 10, 118
"/Users/clifford/Codings/winda-test/components/Order/ImageGallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 73, 0, 0, 7, 80
"/Users/clifford/Codings/winda-test/components/Order/ListingMapMakerPopup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 75, 0, 21, 15, 111
"/Users/clifford/Codings/winda-test/components/Order/Map.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 208, 0, 0, 25, 233
"/Users/clifford/Codings/winda-test/components/Order/MapMakerPopup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 141, 0, 0, 18, 159
"/Users/clifford/Codings/winda-test/components/Order/MapMakers.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 145, 0, 0, 15, 160
"/Users/clifford/Codings/winda-test/components/Order/OrderCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 755, 0, 11, 38, 804
"/Users/clifford/Codings/winda-test/components/Order/PolylineOverlay.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 28, 0, 26, 9, 63
"/Users/clifford/Codings/winda-test/components/Order/Search.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 307, 0, 24, 22, 353
"/Users/clifford/Codings/winda-test/components/Order/SearchDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 184, 0, 17, 8, 209
"/Users/clifford/Codings/winda-test/components/Order/TransportTrip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 102, 0, 0, 8, 110
"/Users/clifford/Codings/winda-test/components/Order/Trip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 2644, 0, 464, 245, 3353
"/Users/clifford/Codings/winda-test/components/Order/TripActivityCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 156, 0, 0, 16, 172
"/Users/clifford/Codings/winda-test/components/Order/TripOverview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 292, 0, 8, 35, 335
"/Users/clifford/Codings/winda-test/components/Order/TripStayCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 164, 0, 0, 19, 183
"/Users/clifford/Codings/winda-test/components/Order/TripTransportCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 169, 0, 3, 16, 188
"/Users/clifford/Codings/winda-test/components/SavedListings/Listing.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 287, 0, 0, 14, 301
"/Users/clifford/Codings/winda-test/components/SigninLayout/SigninLayout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 61, 0, 0, 4, 65
"/Users/clifford/Codings/winda-test/components/Signup/Signup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"/Users/clifford/Codings/winda-test/components/Signup/SignupForm.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 212, 0, 47, 13, 272
"/Users/clifford/Codings/winda-test/components/Stay/AllReviews.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 140, 0, 0, 16, 156
"/Users/clifford/Codings/winda-test/components/Stay/Amenities.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 721, 0, 0, 43, 764
"/Users/clifford/Codings/winda-test/components/Stay/CreateReview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 148, 0, 5, 14, 167
"/Users/clifford/Codings/winda-test/components/Stay/DescribesStay.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 350, 0, 0, 23, 373
"/Users/clifford/Codings/winda-test/components/Stay/ImageGallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 84, 0, 0, 8, 92
