"filename", "language", "JavaScript", "JavaScript React", "JSON", "CSS", "comment", "blank", "total"
"/Users/clifford/Codings/winda-test/components/Activities/Listing.jsx", "JavaScript React", 0, -51, 0, 0, 6, 1, -44
"/Users/clifford/Codings/winda-test/components/Activities/Listings.jsx", "JavaScript React", 0, 8, 0, 0, 0, 0, 8
"/Users/clifford/Codings/winda-test/components/Activities/MapMakers.jsx", "JavaScript React", 0, -3, 0, 0, 0, 0, -3
"/Users/clifford/Codings/winda-test/components/Activities/ScrollTo.jsx", "JavaScript React", 0, 187, 0, 0, 0, 11, 198
"/Users/clifford/Codings/winda-test/components/Cart/CartItem.jsx", "JavaScript React", 0, 419, 0, 0, -6, 11, 424
"/Users/clifford/Codings/winda-test/components/Cart/OrderItem.jsx", "JavaScript React", 0, 8, 0, 0, 0, 0, 8
"/Users/clifford/Codings/winda-test/components/Home/InHeaderNavbar.jsx", "JavaScript React", 0, 116, 0, 0, 0, 17, 133
"/Users/clifford/Codings/winda-test/components/Home/Search.jsx", "JavaScript React", 0, -31, 0, 0, 0, 5, -26
"/Users/clifford/Codings/winda-test/components/Home/SearchSelect.jsx", "JavaScript React", 0, 3, 0, 0, 0, 0, 3
"/Users/clifford/Codings/winda-test/components/Home/StickyHeader.jsx", "JavaScript React", 0, 6, 0, 0, 0, 0, 6
"/Users/clifford/Codings/winda-test/components/Home/TransportSearch.jsx", "JavaScript React", 0, 77, 0, 0, 0, 5, 82
"/Users/clifford/Codings/winda-test/components/Home/UserDropdown.jsx", "JavaScript React", 0, 61, 0, 0, 0, 2, 63
"/Users/clifford/Codings/winda-test/components/Lodging/Listing.jsx", "JavaScript React", 0, -142, 0, 0, 125, 1, -16
"/Users/clifford/Codings/winda-test/components/Lodging/Listings.jsx", "JavaScript React", 0, 8, 0, 0, 0, 0, 8
"/Users/clifford/Codings/winda-test/components/Lodging/MapMakers.jsx", "JavaScript React", 0, -3, 0, 0, 0, 0, -3
"/Users/clifford/Codings/winda-test/components/Lodging/Navbar.jsx", "JavaScript React", 0, 357, 0, 0, 0, 32, 389
"/Users/clifford/Codings/winda-test/components/Order/Destination.jsx", "JavaScript React", 0, -9, 0, 0, 12, -1, 2
"/Users/clifford/Codings/winda-test/components/Order/DriversMarker.jsx", "JavaScript React", 0, 28, 0, 0, 0, 4, 32
"/Users/clifford/Codings/winda-test/components/Order/Map.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 29
"/Users/clifford/Codings/winda-test/components/Order/MapMakerPopup.jsx", "JavaScript React", 0, 42, 0, 0, 0, 3, 45
"/Users/clifford/Codings/winda-test/components/Order/MapMakers.jsx", "JavaScript React", 0, 5, 0, 0, 0, 0, 5
"/Users/clifford/Codings/winda-test/components/Order/OrderCard.jsx", "JavaScript React", 0, 566, 0, 0, 0, 31, 597
"/Users/clifford/Codings/winda-test/components/Order/Search.jsx", "JavaScript React", 0, 131, 0, 0, 24, 5, 160
"/Users/clifford/Codings/winda-test/components/Order/TransportTrip.jsx", "JavaScript React", 0, 102, 0, 0, 0, 8, 110
"/Users/clifford/Codings/winda-test/components/Order/Trip.jsx", "JavaScript React", 0, 1648, 0, 0, 47, 113, 1808
"/Users/clifford/Codings/winda-test/components/Order/TripActivityCard.jsx", "JavaScript React", 0, 156, 0, 0, 0, 16, 172
"/Users/clifford/Codings/winda-test/components/Order/TripOverview.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 15
"/Users/clifford/Codings/winda-test/components/Order/TripStayCard.jsx", "JavaScript React", 0, 164, 0, 0, 0, 19, 183
"/Users/clifford/Codings/winda-test/components/Order/TripTransportCard.jsx", "JavaScript React", 0, 170, 0, 0, 0, 16, 186
"/Users/clifford/Codings/winda-test/components/Stay/Amenities.jsx", "JavaScript React", 0, 672, 0, 0, 0, 36, 708
"/Users/clifford/Codings/winda-test/components/Stay/MobileSearchModal.jsx", "JavaScript React", 0, 199, 0, 0, 0, 20, 219
"/Users/clifford/Codings/winda-test/components/Stay/Navbar.jsx", "JavaScript React", 0, 299, 0, 0, 0, 30, 329
"/Users/clifford/Codings/winda-test/components/Stay/Price.jsx", "JavaScript React", 0, -2, 0, 0, 0, 0, -2
"/Users/clifford/Codings/winda-test/components/Stay/Review.jsx", "JavaScript React", 0, 1, 0, 0, 0, 0, 1
"/Users/clifford/Codings/winda-test/components/Stay/ScrollTo.jsx", "JavaScript React", 0, 184, 0, 0, 0, 11, 195
"/Users/clifford/Codings/winda-test/components/Stay/Share.jsx", "JavaScript React", 0, 2, 0, 0, 0, 0, 2
"/Users/clifford/Codings/winda-test/components/Transport/AllReviews.jsx", "JavaScript React", 0, 142, 0, 0, 0, 17, 159
"/Users/clifford/Codings/winda-test/components/Transport/CreateReview.jsx", "JavaScript React", 0, 148, 0, 0, 5, 14, 167
"/Users/clifford/Codings/winda-test/components/Transport/FilterTags.jsx", "JavaScript React", 0, 103, 0, 0, 0, 8, 111
"/Users/clifford/Codings/winda-test/components/Transport/Footer.jsx", "JavaScript React", 0, 156, 0, 0, 0, 3, 159
"/Users/clifford/Codings/winda-test/components/Transport/ImageGallery.jsx", "JavaScript React", 0, 118, 0, 0, 2, 7, 127
"/Users/clifford/Codings/winda-test/components/Transport/Listing.jsx", "JavaScript React", 0, 158, 0, 0, 0, 17, 175
"/Users/clifford/Codings/winda-test/components/Transport/Listings.jsx", "JavaScript React", 0, 23, 0, 0, 0, 5, 28
"/Users/clifford/Codings/winda-test/components/Transport/Map.jsx", "JavaScript React", 0, 84, 0, 0, 1, 10, 95
"/Users/clifford/Codings/winda-test/components/Transport/MobileTransportTypes.jsx", "JavaScript React", 0, 157, 0, 0, 0, 17, 174
