Date : 2022-06-15 14:21:54
Directory : /Users/clifford/Codings/winda-test
Total : 95 files,  17530 codes, 1723 comments, 1415 blanks, all 20668 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         83 |     17,040 |      1,722 |      1,372 |     20,134 |
| JavaScript       |          8 |        390 |          1 |         35 |        426 |
| JSON             |          2 |         55 |          0 |          0 |         55 |
| CSS              |          2 |         45 |          0 |          8 |         53 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |         95 |     17,530 |      1,723 |      1,415 |     20,668 |
| components                                                                       |         70 |      8,938 |        217 |        685 |      9,840 |
| components/Activities                                                            |          4 |        141 |          6 |         12 |        159 |
| components/Cart                                                                  |          2 |        427 |         -6 |         11 |        432 |
| components/Home                                                                  |          6 |        232 |          0 |         29 |        261 |
| components/Lodging                                                               |          4 |        220 |        125 |         33 |        378 |
| components/Order                                                                 |         13 |      3,047 |         83 |        214 |      3,344 |
| components/Stay                                                                  |          7 |      1,355 |          0 |         97 |      1,452 |
| components/Transport                                                             |         15 |      2,149 |          9 |        172 |      2,330 |
| components/Trip                                                                  |          6 |      1,023 |          0 |         99 |      1,122 |
| components/ui                                                                    |         13 |        344 |          0 |         18 |        362 |
| lib                                                                              |          4 |        244 |          1 |         26 |        271 |
| pages                                                                            |         13 |      8,102 |      1,505 |        687 |     10,294 |
| pages/cart                                                                       |          1 |        325 |          0 |          5 |        330 |
| pages/activities                                                                |          2 |      1,057 |        109 |         95 |      1,261 |
| pages/order-successfull                                                          |          1 |          1 |          0 |          0 |          1 |
| pages/orders                                                                     |          1 |        -43 |        283 |         27 |        267 |
| pages/stays                                                                      |          2 |      1,665 |        130 |        161 |      1,956 |
| pages/transport                                                                  |          2 |      2,937 |          4 |        200 |      3,141 |
| pages/trip                                                                       |          3 |      2,843 |        229 |        203 |      3,275 |
| pages/trip/activities                                                           |          1 |        491 |          0 |         50 |        541 |
| pages/trip/plan                                                                  |          1 |      2,057 |          3 |        111 |      2,171 |
| pages/trip/stays                                                                 |          1 |        295 |        226 |         42 |        563 |
| redux                                                                            |          4 |        146 |          0 |          9 |        155 |
| redux/actions                                                                    |          2 |        115 |          0 |          2 |        117 |
| redux/reducers                                                                   |          2 |         31 |          0 |          7 |         38 |
| styles                                                                           |          2 |         45 |          0 |          8 |         53 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                         | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/clifford/Codings/winda-test/components/Activities/Listing.jsx             | JavaScript React |        -51 |          6 |          1 |        -44 |
| /Users/clifford/Codings/winda-test/components/Activities/Listings.jsx            | JavaScript React |          8 |          0 |          0 |          8 |
| /Users/clifford/Codings/winda-test/components/Activities/MapMakers.jsx           | JavaScript React |         -3 |          0 |          0 |         -3 |
| /Users/clifford/Codings/winda-test/components/Activities/ScrollTo.jsx            | JavaScript React |        187 |          0 |         11 |        198 |
| /Users/clifford/Codings/winda-test/components/Cart/CartItem.jsx                  | JavaScript React |        419 |         -6 |         11 |        424 |
| /Users/clifford/Codings/winda-test/components/Cart/OrderItem.jsx                 | JavaScript React |          8 |          0 |          0 |          8 |
| /Users/clifford/Codings/winda-test/components/Home/InHeaderNavbar.jsx            | JavaScript React |        116 |          0 |         17 |        133 |
| /Users/clifford/Codings/winda-test/components/Home/Search.jsx                    | JavaScript React |        -31 |          0 |          5 |        -26 |
| /Users/clifford/Codings/winda-test/components/Home/SearchSelect.jsx              | JavaScript React |          3 |          0 |          0 |          3 |
| /Users/clifford/Codings/winda-test/components/Home/StickyHeader.jsx              | JavaScript React |          6 |          0 |          0 |          6 |
| /Users/clifford/Codings/winda-test/components/Home/TransportSearch.jsx           | JavaScript React |         77 |          0 |          5 |         82 |
| /Users/clifford/Codings/winda-test/components/Home/UserDropdown.jsx              | JavaScript React |         61 |          0 |          2 |         63 |
| /Users/clifford/Codings/winda-test/components/Lodging/Listing.jsx                | JavaScript React |       -142 |        125 |          1 |        -16 |
| /Users/clifford/Codings/winda-test/components/Lodging/Listings.jsx               | JavaScript React |          8 |          0 |          0 |          8 |
| /Users/clifford/Codings/winda-test/components/Lodging/MapMakers.jsx              | JavaScript React |         -3 |          0 |          0 |         -3 |
| /Users/clifford/Codings/winda-test/components/Lodging/Navbar.jsx                 | JavaScript React |        357 |          0 |         32 |        389 |
| /Users/clifford/Codings/winda-test/components/Order/Destination.jsx              | JavaScript React |         -9 |         12 |         -1 |          2 |
| /Users/clifford/Codings/winda-test/components/Order/DriversMarker.jsx            | JavaScript React |         28 |          0 |          4 |         32 |
| /Users/clifford/Codings/winda-test/components/Order/Map.jsx                      | JavaScript React |         29 |          0 |          0 |         29 |
| /Users/clifford/Codings/winda-test/components/Order/MapMakerPopup.jsx            | JavaScript React |         42 |          0 |          3 |         45 |
| /Users/clifford/Codings/winda-test/components/Order/MapMakers.jsx                | JavaScript React |          5 |          0 |          0 |          5 |
| /Users/clifford/Codings/winda-test/components/Order/OrderCard.jsx                | JavaScript React |        566 |          0 |         31 |        597 |
| /Users/clifford/Codings/winda-test/components/Order/Search.jsx                   | JavaScript React |        131 |         24 |          5 |        160 |
| /Users/clifford/Codings/winda-test/components/Order/TransportTrip.jsx            | JavaScript React |        102 |          0 |          8 |        110 |
| /Users/clifford/Codings/winda-test/components/Order/Trip.jsx                     | JavaScript React |      1,648 |         47 |        113 |      1,808 |
| /Users/clifford/Codings/winda-test/components/Order/TripActivityCard.jsx         | JavaScript React |        156 |          0 |         16 |        172 |
| /Users/clifford/Codings/winda-test/components/Order/TripOverview.jsx             | JavaScript React |         15 |          0 |          0 |         15 |
| /Users/clifford/Codings/winda-test/components/Order/TripStayCard.jsx             | JavaScript React |        164 |          0 |         19 |        183 |
| /Users/clifford/Codings/winda-test/components/Order/TripTransportCard.jsx        | JavaScript React |        170 |          0 |         16 |        186 |
| /Users/clifford/Codings/winda-test/components/Stay/Amenities.jsx                 | JavaScript React |        672 |          0 |         36 |        708 |
| /Users/clifford/Codings/winda-test/components/Stay/MobileSearchModal.jsx         | JavaScript React |        199 |          0 |         20 |        219 |
| /Users/clifford/Codings/winda-test/components/Stay/Navbar.jsx                    | JavaScript React |        299 |          0 |         30 |        329 |
| /Users/clifford/Codings/winda-test/components/Stay/Price.jsx                     | JavaScript React |         -2 |          0 |          0 |         -2 |
| /Users/clifford/Codings/winda-test/components/Stay/Review.jsx                    | JavaScript React |          1 |          0 |          0 |          1 |
| /Users/clifford/Codings/winda-test/components/Stay/ScrollTo.jsx                  | JavaScript React |        184 |          0 |         11 |        195 |
| /Users/clifford/Codings/winda-test/components/Stay/Share.jsx                     | JavaScript React |          2 |          0 |          0 |          2 |
