"filename", "language", "JSON with Comments", "JavaScript", "JSON", "XML", "Markdown", "CSS", "JavaScript React", "comment", "blank", "total"
"/Users/clifford/Codings/winda-test/components/Home/TeamExperience.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 47, 3, 3, 53
"/Users/clifford/Codings/winda-test/components/Home/TopBanner.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 50, 1, 7, 58
"/Users/clifford/Codings/winda-test/components/Home/TransportSearch.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 203, 0, 4, 207
"/Users/clifford/Codings/winda-test/components/Home/UserDropdown.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 104, 0, 5, 109
"/Users/clifford/Codings/winda-test/components/Lodging/Amenities.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 90, 2, 12, 104
"/Users/clifford/Codings/winda-test/components/Lodging/Filter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"/Users/clifford/Codings/winda-test/components/Lodging/Listing.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 676, 48, 49, 773
"/Users/clifford/Codings/winda-test/components/Lodging/Listings.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 25, 14, 5, 44
"/Users/clifford/Codings/winda-test/components/Lodging/Map.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 64, 1, 8, 73
"/Users/clifford/Codings/winda-test/components/Lodging/MapMakerPopup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 73, 21, 15, 109
"/Users/clifford/Codings/winda-test/components/Lodging/MapMakers.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 149, 0, 13, 162
"/Users/clifford/Codings/winda-test/components/Lodging/MobileStayTypes.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 68, 0, 13, 81
"/Users/clifford/Codings/winda-test/components/Lodging/Navbar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 49, 0, 5, 54
"/Users/clifford/Codings/winda-test/components/Lodging/PriceFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 62, 0, 3, 65
"/Users/clifford/Codings/winda-test/components/Lodging/RemoveFixed.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 31, 4, 5, 40
"/Users/clifford/Codings/winda-test/components/Lodging/RoomFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 62, 1, 3, 66
"/Users/clifford/Codings/winda-test/components/Lodging/StayTypes.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 119, 1, 17, 137
"/Users/clifford/Codings/winda-test/components/Lodging/ThemeFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 74, 2, 13, 89
"/Users/clifford/Codings/winda-test/components/Login/Login.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"/Users/clifford/Codings/winda-test/components/Login/LoginForm.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 200, 0, 14, 214
"/Users/clifford/Codings/winda-test/components/Order/Cluster.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 41, 0, 3, 44
"/Users/clifford/Codings/winda-test/components/Order/Destination.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 200, 7, 19, 226
"/Users/clifford/Codings/winda-test/components/Order/DriversMarker.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 79, 1, 6, 86
"/Users/clifford/Codings/winda-test/components/Order/ImageGallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 47, 0, 7, 54
"/Users/clifford/Codings/winda-test/components/Order/ListingMapMakerPopup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 75, 21, 15, 111
"/Users/clifford/Codings/winda-test/components/Order/Map.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 369, 143, 54, 566
"/Users/clifford/Codings/winda-test/components/Order/MapMakerPopup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 99, 0, 15, 114
"/Users/clifford/Codings/winda-test/components/Order/MapMakers.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 140, 0, 15, 155
"/Users/clifford/Codings/winda-test/components/Order/PolylineOverlay.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 28, 26, 9, 63
"/Users/clifford/Codings/winda-test/components/Order/Search.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 176, 0, 17, 193
"/Users/clifford/Codings/winda-test/components/Order/SearchDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 184, 17, 8, 209
"/Users/clifford/Codings/winda-test/components/Order/TripOverview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 277, 8, 35, 320
"/Users/clifford/Codings/winda-test/components/SigninLayout/SigninLayout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 60, 0, 4, 64
"/Users/clifford/Codings/winda-test/components/Signup/Signup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"/Users/clifford/Codings/winda-test/components/Signup/SignupForm.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 233, 0, 12, 245
"/Users/clifford/Codings/winda-test/components/Stay/AllReviews.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 140, 0, 16, 156
"/Users/clifford/Codings/winda-test/components/Stay/CreateReview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 148, 5, 14, 167
